Feature,Importance
Overall Survival (Months),0.0659874265374426
Winter Hypoxia Score,0.06188299462257676
Diagnosis Age,0.0614978176177405
mean_impact_confidence,0.054911346176315726
Buffa Hypoxia Score,0.05474004506134985
Ragnum Hypoxia Score,0.0539474530156193
mean_variant_confidence,0.04912609496362028
Mutation Count,0.0476553782409352
Aneuploidy Score,0.045160189232911846
TMB (nonsynonymous),0.043610753263375636
total_variants,0.04047268895943572
moderate_impact_count,0.03926471360945982
count_Missense_Mutation,0.038029989442008166
high_impact_count,0.0329534104815116
low_impact_count,0.032071195950127876
count_Silent,0.030863736517760112
count_3'UTR,0.03025829193458845
count_Nonsense_Mutation,0.027713841168728045
count_5'UTR,0.02678291788363809
count_RNA,0.025415647998112748
count_Intron,0.02464723794013754
count_Splice_Site,0.024317025883506
count_Frame_Shift_Del,0.018580663446579652
count_5'Flank,0.01431628784678073
count_In_Frame_Del,0.012604975954553097
count_Splice_Region,0.011610208594471165
count_Frame_Shift_Ins,0.009621190958715503
count_3'Flank,0.009356668794279424
count_Translation_Start_Site,0.005852483802270217
count_Nonstop_Mutation,0.00370620376910769
count_In_Frame_Ins,0.0030411203323405718
